,date,city_code,PM2.5,BC,OM,SO4,NO3,NH4,cl
258,2013/2/21,1001,48.30714022,2.314363653,29.43883303,6.108412891,7.30175106,6.599314141,3.14377958
263,2013/2/22,1001,36.52240265,1.637463254,23.83327878,4.626553925,4.044453035,4.474728345,2.380653655
268,2013/2/23,1001,42.29578847,2.0462316,25.27861594,6.097850956,5.421016445,4.913149363,3.45207353
273,2013/2/24,1001,81.78804715,3.876801024,44.48517289,12.70056165,14.79940714,10.73422369,5.926104442
278,2013/2/25,1001,82.68056411,3.719165956,44.19059462,13.09103086,16.05936852,11.05551039,5.620404148
283,2013/2/26,1001,60.24795365,2.74117652,37.09671028,7.801098753,9.446362741,7.183598766,3.162605351
288,2013/2/27,1001,44.26643044,2.156421262,25.59832186,6.360616386,6.605263877,5.332168085,3.545807056
293,2013/2/28,1001,76.81779576,3.338152693,50.52019469,9.490954231,9.85755955,7.837762908,3.610934595
298,2013/3/1,1001,26.66962107,1.061313512,17.58888191,3.581762909,2.704165037,2.564471422,1.733497702
303,2013/3/2,1001,37.72567357,1.885761912,21.90633798,4.751229657,5.748196408,5.084362179,3.434147608
308,2013/3/3,1001,37.52509939,1.848793257,23.30982204,4.482717332,4.983758831,4.579857767,2.900007936
313,2013/3/4,1001,37.30326675,1.77540141,22.68269714,5.046977956,5.167484824,4.635169795,2.630705419
318,2013/3/5,1001,77.84005669,3.455746817,42.51892185,10.18050994,15.61485799,10.48054382,6.070020102
323,2013/3/6,1001,98.57970309,4.586852778,50.52307201,14.15776371,23.08712957,12.63380149,6.224885027
328,2013/3/7,1001,50.49893712,2.557991283,28.07534529,7.068487229,9.701757125,7.214317422,3.0953562
333,2013/3/8,1001,54.1081051,2.588787122,30.00981545,8.34368016,9.849555973,7.683474979,3.316266398
338,2013/3/9,1001,51.16279726,2.163414391,36.63541854,4.843099478,5.022401055,4.371748302,2.4984638
343,2013/3/10,1001,33.7491816,1.626097949,18.90358423,5.18054017,4.953893903,4.40539335,3.085065349
348,2013/3/11,1001,49.47924114,2.28968086,26.84060459,7.334171052,9.23123238,6.694595106,3.78355225
353,2013/3/12,1001,60.81890151,2.56164198,40.53029692,6.785491189,8.289307514,6.263871754,2.652163909
358,2013/3/13,1001,25.77302373,1.114448394,14.94521382,4.865045072,2.838684519,3.00871087,2.00963192
363,2013/3/14,1001,62.18873398,2.776316297,32.03562425,9.841946316,12.67886832,8.982441441,4.855978807
368,2013/3/15,1001,75.48543975,3.398997477,40.9445242,11.14710677,15.74452949,10.50831208,4.250281814
373,2013/3/16,1001,52.15556365,2.57830143,27.59094447,7.991953888,10.78176981,7.501214535,3.212594055
378,2013/3/17,1001,67.91623783,3.175377376,39.18005342,8.76891782,13.82606097,9.412138814,2.965828247
383,2013/3/18,1001,34.71162985,1.486320091,22.7947857,3.9451251,4.334450204,3.665899767,2.150948747
388,2013/3/19,1001,36.85671648,1.664358491,23.75571809,4.485716202,4.779905296,4.835030954,2.1710184
393,2013/3/20,1001,28.24481876,1.180799108,16.49647047,4.92859364,3.172462278,3.25823882,2.466493262
398,2013/3/21,1001,68.3693346,3.066439126,39.22987601,8.558692392,13.6624564,10.01096551,3.851870678
403,2013/3/22,1001,26.2061845,1.11856031,15.31831859,4.232662744,3.26669138,3.265011693,2.269951474
408,2013/3/23,1001,53.25112561,2.303010114,32.7532232,6.409059062,9.109591758,7.040718969,2.676241469
413,2013/3/24,1001,41.36938126,1.755054084,27.42251787,4.849323122,4.607365767,4.374435614,2.735120421
418,2013/3/25,1001,45.47945757,2.218284495,25.74090144,6.247660346,7.14180001,5.602912619,4.130811278
423,2013/3/26,1001,73.26485896,3.205228185,39.16217712,10.99573206,15.92388707,11.04678627,3.977834531
428,2013/3/27,1001,57.01051949,2.494963235,37.93734644,5.718772933,8.42022948,6.466123726,2.4392074
433,2013/3/28,1001,27.18626264,1.135154813,17.77681396,3.224354691,3.050655052,2.759977348,1.999284123
438,2013/3/29,1001,33.98688398,1.499509097,20.17068088,4.911908305,4.500817388,4.120174042,2.903968309
443,2013/3/30,1001,64.16187031,2.79567859,32.45102388,10.12904957,14.37203328,9.453090903,4.414084992
448,2013/3/31,1001,59.95714039,2.789647434,30.87445796,11.41600502,12.02830263,8.762595343,2.848727346
453,2013/4/1,1001,57.91753192,2.520468694,35.9667314,7.935680828,9.008537543,8.226460659,2.486113461
458,2013/4/2,1001,42.76934363,2.193709006,23.79628118,5.245077066,9.099300437,5.983810107,2.434975943
463,2013/4/3,1001,41.58612637,1.714684167,26.14228353,5.199520309,6.714725942,5.525606051,1.814912422
468,2013/4/4,1001,58.35904643,2.538838893,32.56128251,9.131249796,10.73069865,8.094627078,3.396976581
473,2013/4/5,1001,56.49571809,2.329714274,36.40491422,6.513290517,8.802102589,7.762686197,2.445696481
478,2013/4/6,1001,28.58534022,1.087706113,18.67425893,3.694435158,3.434277973,2.973383311,1.694662048
483,2013/4/7,1001,45.22222394,2.066476328,25.06550847,6.14701464,9.335368297,6.546528468,2.607856211
488,2013/4/8,1001,34.40010876,1.461548348,22.65201885,4.26333716,4.363477406,4.097896181,1.659726996
493,2013/4/9,1001,26.32574399,1.069145778,17.83936805,3.145213126,2.952514524,2.761964358,1.319502512
498,2013/4/10,1001,27.36532891,1.075298357,18.83431065,3.069602247,2.927849144,2.730027236,1.45826851
503,2013/4/11,1001,25.58569315,0.983595611,17.5840913,2.964651666,2.724606961,2.585119012,1.328747617
508,2013/4/12,1001,30.86641142,1.40866196,18.80719247,4.004698706,5.070089777,4.041795843,1.575768508
513,2013/4/13,1001,39.25272555,1.549696878,26.6244234,4.025653148,5.390405094,4.397764868,1.662547026
518,2013/4/14,1001,27.85019808,1.134703476,17.16496442,4.0083927,3.254745786,2.904005959,2.287391703
523,2013/4/15,1001,41.38208364,1.841499865,24.36787939,4.691405204,8.128712638,5.584116969,2.352586544
528,2013/4/16,1001,36.08194237,1.433067551,22.91880919,4.520806092,5.195918559,4.482654267,2.013340975
533,2013/4/17,1001,53.34392022,2.260291271,32.84299918,6.051026314,9.510531132,6.968466053,2.679072323
538,2013/4/18,1001,25.35734225,0.996357753,17.1718012,3.003139993,2.849611194,2.637292863,1.336432105
543,2013/4/19,1001,39.29432476,1.48223453,26.45979944,3.729785308,5.169377238,4.556069175,2.45312824
548,2013/4/20,1001,28.87509926,1.198995643,18.56220416,4.069249721,3.427697589,3.027422278,1.616952148
553,2013/4/21,1001,47.92286,2.110556,27.91472,6.82686,8.685093,6.283952,2.385635
558,2013/4/22,1001,82.0022,3.327983,45.90257,14.30338,15.64898,10.25352,2.819298
563,2013/4/23,1001,67.583,2.966249,36.79978,10.02398,14.91245,10.39507,2.880539
568,2013/4/24,1001,29.88622,1.325769,18.50991,4.254057,4.578384,4.411086,1.218102
573,2013/4/25,1001,26.77168,1.0345,18.71232,3.091296,2.866977,2.703386,1.066586
578,2013/4/26,1001,33.75781,1.458587,21.30318,4.460486,5.2332,4.308161,1.302355
583,2013/4/27,1001,43.16777,1.914389,24.47875,6.448311,8.731334,6.684686,1.594985
588,2013/4/28,1001,49.34387,2.152938,28.74522,6.517437,10.252,7.565549,1.676274
593,2013/4/29,1001,29.2604,1.149784,20.13255,3.408326,3.197435,2.965233,1.372305
598,2013/4/30,1001,37.41512,1.465182,26.3532,3.938951,4.342027,3.849815,1.315763
603,2013/5/1,1001,38.52186,1.656186,25.76183,5.15092,4.658856,4.7236,1.294071
608,2013/5/2,1001,57.89395,2.478065,33.53453,8.4206,11.56858,8.060204,1.892173
613,2013/5/3,1001,40.52057,1.773986,25.25932,6.420767,5.753108,5.796255,1.313385
